date,city,trend_score
2023-11-30,Budapest,4.757570453352004
2023-12-31,Budapest,4.757570453352004
2024-01-31,Budapest,4.757570453352004
2024-02-29,Budapest,4.757570453352004
2024-03-31,Budapest,4.757570453352004
2024-04-30,Budapest,5.550498862244005
2024-05-31,Budapest,5.550498862244005
2024-06-30,Budapest,5.550498862244005
2024-07-31,Budapest,5.550498862244005
2024-08-31,Budapest,5.550498862244005
2024-09-30,Budapest,5.550498862244005
2024-10-31,Budapest,4.757570453352004
2024-11-30,Budapest,5.550498862244005
2024-12-31,Budapest,5.550498862244005
2025-01-31,Budapest,4.757570453352004
2025-02-28,Budapest,4.757570453352004
2025-03-31,Budapest,4.757570453352004
2025-04-30,Budapest,4.757570453352004
2025-05-31,Budapest,4.757570453352004
2025-06-30,Budapest,5.550498862244005
2025-07-31,Budapest,5.550498862244005
2025-08-31,Budapest,7.929284088920008
2025-09-30,Budapest,7.136355680028007
2025-10-31,Budapest,7.136355680028007
2025-11-30,Budapest,7.136355680028007
2025-12-31,Budapest,7.136355680028007
2018-01-31,Copenhagen,2.378785226676002
2018-02-28,Copenhagen,2.378785226676002
2018-03-31,Copenhagen,2.378785226676002
2018-04-30,Copenhagen,2.378785226676002
2018-05-31,Copenhagen,2.378785226676002
2018-06-30,Copenhagen,2.378785226676002
2018-07-31,Copenhagen,2.378785226676002
2018-08-31,Copenhagen,3.171713635568003
2018-09-30,Copenhagen,2.378785226676002
2018-10-31,Copenhagen,2.378785226676002
2018-11-30,Copenhagen,2.378785226676002
2018-12-31,Copenhagen,2.378785226676002
2019-01-31,Copenhagen,2.378785226676002
2019-02-28,Copenhagen,2.378785226676002
2019-03-31,Copenhagen,2.378785226676002
2019-04-30,Copenhagen,2.378785226676002
2019-05-31,Copenhagen,2.378785226676002
2019-06-30,Copenhagen,2.378785226676002
2019-07-31,Copenhagen,2.378785226676002
2019-08-31,Copenhagen,3.171713635568003
2019-09-30,Copenhagen,2.378785226676002
2019-10-31,Copenhagen,2.378785226676002
2019-11-30,Copenhagen,2.378785226676002
2019-12-31,Copenhagen,2.378785226676002
2020-01-31,Copenhagen,2.378785226676002
2020-02-29,Copenhagen,2.378785226676002
2020-03-31,Copenhagen,1.5858568177840016
2020-04-30,Copenhagen,0.7929284088920008
2020-05-31,Copenhagen,0.7929284088920008
2020-06-30,Copenhagen,1.5858568177840016
2020-07-31,Copenhagen,1.5858568177840016
2020-08-31,Copenhagen,2.378785226676002
2020-09-30,Copenhagen,1.5858568177840016
2020-10-31,Copenhagen,1.5858568177840016
2020-11-30,Copenhagen,1.5858568177840016
2020-12-31,Copenhagen,1.5858568177840016
2021-01-31,Copenhagen,1.5858568177840016
2021-02-28,Copenhagen,1.5858568177840016
2021-03-31,Copenhagen,0.7929284088920008
2021-04-30,Copenhagen,0.7929284088920008
2021-05-31,Copenhagen,1.5858568177840016
2021-06-30,Copenhagen,1.5858568177840016
2021-07-31,Copenhagen,1.5858568177840016
2021-08-31,Copenhagen,1.5858568177840016
2021-09-30,Copenhagen,1.5858568177840016
2021-10-31,Copenhagen,1.5858568177840016
2021-11-30,Copenhagen,1.5858568177840016
2021-12-31,Copenhagen,1.5858568177840016
2022-01-31,Copenhagen,1.5858568177840016
2022-02-28,Copenhagen,1.5858568177840016
2022-03-31,Copenhagen,2.378785226676002
2022-04-30,Copenhagen,2.378785226676002
2022-05-31,Copenhagen,2.378785226676002
2022-06-30,Copenhagen,2.378785226676002
2022-07-31,Copenhagen,3.171713635568003
2022-08-31,Copenhagen,2.378785226676002
2022-09-30,Copenhagen,2.378785226676002
2022-10-31,Copenhagen,3.171713635568003
2022-11-30,Copenhagen,2.378785226676002
2022-12-31,Copenhagen,1.5858568177840016
2023-01-31,Copenhagen,2.378785226676002
2023-02-28,Copenhagen,2.378785226676002
2023-03-31,Copenhagen,2.378785226676002
2023-04-30,Copenhagen,2.378785226676002
2023-05-31,Copenhagen,2.378785226676002
2023-06-30,Copenhagen,2.378785226676002
2023-07-31,Copenhagen,2.378785226676002
2023-08-31,Copenhagen,3.171713635568003
2023-09-30,Copenhagen,2.378785226676002
2023-10-31,Copenhagen,3.171713635568003
