date,city,trend_score
2018-01-31,Amsterdam,16.0
2018-02-28,Amsterdam,15.0
2018-03-31,Amsterdam,15.0
2018-04-30,Amsterdam,16.0
2018-05-31,Amsterdam,14.0
2018-06-30,Amsterdam,14.0
2018-07-31,Amsterdam,15.0
2018-08-31,Amsterdam,17.0
2018-09-30,Amsterdam,16.0
2018-10-31,Amsterdam,16.0
2018-11-30,Amsterdam,15.0
2018-12-31,Amsterdam,14.0
2019-01-31,Amsterdam,16.0
2019-02-28,Amsterdam,15.0
2019-03-31,Amsterdam,15.0
2019-04-30,Amsterdam,17.0
2019-05-31,Amsterdam,16.0
2019-06-30,Amsterdam,16.0
2019-07-31,Amsterdam,16.0
2019-08-31,Amsterdam,16.0
2019-09-30,Amsterdam,16.0
2019-10-31,Amsterdam,17.0
2019-11-30,Amsterdam,15.0
2019-12-31,Amsterdam,15.0
2020-01-31,Amsterdam,16.0
2020-02-29,Amsterdam,15.0
2020-03-31,Amsterdam,10.0
2020-04-30,Amsterdam,7.0
2020-05-31,Amsterdam,8.0
2020-06-30,Amsterdam,10.0
2020-07-31,Amsterdam,11.0
2020-08-31,Amsterdam,11.0
2020-09-30,Amsterdam,9.0
2020-10-31,Amsterdam,8.0
2020-11-30,Amsterdam,7.0
2020-12-31,Amsterdam,7.0
2021-01-31,Amsterdam,7.0
2021-02-28,Amsterdam,7.0
2021-03-31,Amsterdam,9.0
2021-04-30,Amsterdam,9.0
2021-05-31,Amsterdam,9.0
2021-06-30,Amsterdam,10.0
2021-07-31,Amsterdam,10.0
2021-08-31,Amsterdam,11.0
2021-09-30,Amsterdam,11.0
2021-10-31,Amsterdam,12.0
2021-11-30,Amsterdam,11.0
2021-12-31,Amsterdam,8.0
