city,model,mae,rmse,n
Amsterdam,naive_current_trend,0.6842105263157895,1.0513149660756937,19
Amsterdam,linear_regression,1.3031175801132262,1.4897451194574434,19
Amsterdam,random_forest,0.8812325546097275,1.2880506773453846,19
Athens,naive_current_trend,0.14962099317952868,0.4611628727470061,19
Athens,linear_regression,0.5051971028847554,0.6036639235458157,19
Athens,random_forest,0.7029809236972652,1.6208381627629402,19
Barcelona,naive_current_trend,14.947368421052632,20.44762243288678,19
Barcelona,linear_regression,13.870979025063184,18.750691149586668,19
Barcelona,random_forest,11.278882865128462,14.564202163203422,19
Berlin,naive_current_trend,1.0850599279574749,1.4778458802105032,19
Berlin,linear_regression,2.0251132041566073,2.375555283771318,19
Berlin,random_forest,1.3524705554148946,1.9234603546154738,19
Brussels,naive_current_trend,0.20866537076105285,0.4812892899284063,19
Brussels,linear_regression,0.38452198854806346,0.5381046307911583,19
Brussels,random_forest,0.2792406979246931,0.4573205972444541,19
Budapest,naive_current_trend,0.33386459321768464,0.6806458412416689,19
Budapest,linear_regression,0.658834657280901,0.8224783634718946,19
Budapest,random_forest,0.9162429363029754,1.5980429476714948,19
Copenhagen,naive_current_trend,0.5425299639787374,0.7929284088920009,19
Copenhagen,linear_regression,0.5541124460573897,0.8015648516362487,19
Copenhagen,random_forest,0.5141964510061826,0.7300788762150582,19
Dublin,naive_current_trend,0.5425299639787371,0.7045353797257188,19
Dublin,linear_regression,0.7833316182014406,0.9485812580680559,19
Dublin,random_forest,0.6993523773649508,0.8835844181450716,19
Florence,naive_current_trend,0.3338645932176845,0.5145198933816589,19
Florence,linear_regression,0.9944190375429245,1.1275650579939287,19
Florence,random_forest,0.7835676432939228,1.3020161158393369,19
Istanbul,naive_current_trend,1.2717784420259948,1.8732524444944636,19
Istanbul,linear_regression,1.5795797689569782,1.8497261812658194,19
Istanbul,random_forest,1.5787065998002214,2.1233553261458704,19
Lisbon,naive_current_trend,0.2503984449132634,0.5145198933816589,19
Lisbon,linear_regression,0.7945006648108022,0.9195295570432284,19
Lisbon,random_forest,0.3832340242821689,0.6261060589089298,19
London,naive_current_trend,2.3191253942826937,3.2445684092670053,19
London,linear_regression,2.6963693389447903,3.91801907070025,19
London,random_forest,2.3863020794804948,3.411996745022517,19
Madrid,naive_current_trend,16.832361732696977,23.175441818405222,19
Madrid,linear_regression,18.557866826934433,24.007984213247955,19
Madrid,random_forest,20.8725437634184,27.319508759905137,19
Paris,naive_current_trend,5.0,8.101331924280625,19
Paris,linear_regression,5.0944454092756715,7.3957049946937765,19
Paris,random_forest,6.247262566682244,8.493208135249034,19
Prague,naive_current_trend,0.47368421052631576,0.7608859102526822,19
Prague,linear_regression,0.6369108346247276,0.9285215810578711,19
Prague,random_forest,0.5782306353562285,0.7838855999342434,19
Rome,naive_current_trend,1.2105263157894737,1.9601288894248496,19
Rome,linear_regression,1.1375050022853936,1.4495347745001042,19
Rome,random_forest,1.141048059483793,1.5580536096957227,19
Stockholm,naive_current_trend,0.45906381567431637,0.792928408892001,19
Stockholm,linear_regression,0.47511525145730443,0.7093639548812846,19
Stockholm,random_forest,0.6691579758780404,1.1706365467453004,19
Venice,naive_current_trend,0.2503984449132634,0.5145198933816589,19
Venice,linear_regression,0.55383892367315,0.6844178818397799,19
Venice,random_forest,0.3566198403303429,0.5700078241521532,19
Vienna,naive_current_trend,0.45906381567431626,0.7929284088920008,19
Vienna,linear_regression,0.9725858967773465,1.1608147532820234,19
Vienna,random_forest,0.9314402335874373,1.5283756136011397,19
Warsaw,naive_current_trend,0.1251992224566317,0.4067636911382591,19
Warsaw,linear_regression,0.27771446329853605,0.46693608311047063,19
Warsaw,random_forest,0.13349764273148845,0.34446157652562104,19
