model,mae,rmse,r2
naive_current_trend,2.373965709630628,7.234757782357158,0.9013743526613152
linear_regression,2.786060496422437,7.112673995225113,0.9046748093410937
random_forest,2.572173804122446,7.130846219367177,0.9041870930116387
